city,date,AQI,CO,NO2,O3,PM10,PM2.5,SO2
深圳,2022-01-01,62.875,0.125,37.75,63.5,73.95833333333333,43.958333333333336,5.458333333333333
深圳,2022-01-02,68.0,0.3333333333333333,40.125,61.708333333333336,77.83333333333333,49.208333333333336,5.875
深圳,2022-01-03,48.75,0.0,37.208333333333336,63.0,49.708333333333336,28.95833333333333,5.5
深圳,2022-01-04,54.333333333333336,0.0,41.333333333333336,72.83333333333333,57.833333333333336,34.583333333333336,5.416666666666667
深圳,2022-01-05,41.91666666666666,0.0416666666666666,36.208333333333336,77.54166666666667,42.66666666666666,24.25,5.0
深圳,2022-01-06,57.125,0.0,37.208333333333336,64.45833333333333,62.41666666666666,38.66666666666666,5.166666666666667
深圳,2022-01-07,53.16666666666666,0.0,26.625,70.91666666666667,55.75,35.666666666666664,5.166666666666667
深圳,2022-01-08,48.875,0.0,29.416666666666668,58.208333333333336,49.75,31.75,5.125
深圳,2022-01-09,51.79166666666666,0.0,31.0,64.33333333333333,54.91666666666666,32.083333333333336,5.375
深圳,2022-01-10,45.54166666666666,0.0,35.291666666666664,45.208333333333336,47.208333333333336,26.5,5.208333333333333
深圳,2022-01-11,26.625,0.0,21.25,47.54166666666666,26.25,14.5,4.666666666666667
深圳,2022-01-12,46.41666666666666,0.0,30.58333333333333,46.208333333333336,48.333333333333336,29.58333333333333,5.0
深圳,2022-01-13,52.958333333333336,0.0,33.125,48.04166666666666,56.333333333333336,34.625,5.708333333333333
深圳,2022-01-14,60.708333333333336,0.0,22.5,78.875,65.04166666666667,43.16666666666666,5.666666666666667
深圳,2022-01-15,52.0,0.0,25.125,89.45833333333333,54.083333333333336,35.458333333333336,5.125
深圳,2022-01-16,45.875,0.0,27.45833333333333,89.875,46.208333333333336,31.166666666666668,5.166666666666667
深圳,2022-01-17,52.0,0.0,29.541666666666668,74.66666666666667,53.54166666666666,36.41666666666666,4.958333333333333
深圳,2022-01-18,38.875,0.0,31.375,27.375,38.875,24.20833333333333,4.916666666666667
深圳,2022-01-19,28.541666666666668,0.0,23.291666666666668,59.5,25.541666666666668,13.541666666666666,5.041666666666667
深圳,2022-01-20,36.875,0.0,28.25,66.45833333333333,36.458333333333336,20.5,5.875
深圳,2022-01-21,45.04166666666666,0.0,26.20833333333333,72.04166666666667,45.458333333333336,24.20833333333333,5.375
深圳,2022-01-22,21.08333333333333,0.0,20.33333333333333,45.625,17.416666666666668,11.166666666666666,5.041666666666667
深圳,2022-01-23,19.875,0.0,27.45833333333333,41.083333333333336,16.75,9.208333333333334,5.166666666666667
深圳,2022-01-24,30.25,0.0,31.041666666666668,31.875,28.666666666666668,20.291666666666668,5.25
深圳,2022-01-25,19.291666666666668,0.0,18.625,38.0,18.33333333333333,10.208333333333334,5.083333333333333
深圳,2022-01-26,29.0,0.0,23.666666666666668,50.91666666666666,29.0,18.58333333333333,5.041666666666667
深圳,2022-01-27,36.29166666666666,0.0,26.0,62.875,34.166666666666664,24.916666666666668,5.166666666666667
深圳,2022-01-28,31.041666666666668,0.0,18.041666666666668,58.66666666666666,26.375,18.875,4.583333333333333
深圳,2022-01-29,18.416666666666668,0.1666666666666666,13.541666666666666,41.04166666666666,16.75,9.416666666666666,4.833333333333333
深圳,2022-01-30,16.541666666666668,0.0416666666666666,7.291666666666667,50.54166666666666,8.333333333333334,3.7083333333333335,4.625
深圳,2022-01-31,22.041666666666668,0.0,6.708333333333333,45.5,20.916666666666668,14.291666666666666,5.0
深圳,2022-02-01,20.58333333333333,0.0,5.833333333333333,31.0,17.166666666666668,13.208333333333334,5.166666666666667
深圳,2022-02-02,13.333333333333334,0.0,6.083333333333333,23.875,12.791666666666666,9.208333333333334,5.0
深圳,2022-02-03,10.666666666666666,0.0,5.291666666666667,33.541666666666664,4.041666666666667,2.833333333333333,5.0
深圳,2022-02-04,16.75,0.0,4.666666666666667,53.16666666666666,12.208333333333334,7.708333333333333,5.0
深圳,2022-02-05,19.666666666666668,0.0,5.958333333333333,46.625,19.08333333333333,13.791666666666666,5.0
深圳,2022-02-06,28.416666666666668,0.0,8.833333333333334,58.91666666666666,27.041666666666668,19.041666666666668,5.0
深圳,2022-02-07,26.166666666666668,0.0,9.875,68.91666666666667,25.875,14.75,5.0
深圳,2022-02-08,11.833333333333334,0.0,9.791666666666666,36.41666666666666,7.791666666666667,4.125,5.041666666666667
深圳,2022-02-09,21.625,0.0,14.416666666666666,37.16666666666666,21.625,11.833333333333334,5.0
深圳,2022-02-10,25.08333333333333,0.0,16.583333333333332,36.5,25.08333333333333,14.791666666666666,5.125
深圳,2022-02-11,21.70833333333333,0.0,15.833333333333334,68.20833333333333,15.041666666666666,7.958333333333333,5.0
深圳,2022-02-12,34.583333333333336,0.0,24.75,63.125,34.541666666666664,21.83333333333333,5.375
深圳,2022-02-13,25.375,0.0,20.791666666666668,32.833333333333336,25.375,15.791666666666666,5.125
深圳,2022-02-14,18.5,0.0,16.166666666666668,57.79166666666666,13.083333333333334,7.541666666666667,4.958333333333333
深圳,2022-02-15,30.83333333333333,0.0,20.041666666666668,73.5,30.70833333333333,18.45833333333333,5.166666666666667
深圳,2022-02-16,39.708333333333336,0.0,12.416666666666666,94.0,39.708333333333336,21.416666666666668,4.583333333333333
深圳,2022-02-17,32.333333333333336,0.0,12.791666666666666,81.29166666666667,30.291666666666668,17.958333333333332,4.041666666666667
深圳,2022-02-18,24.625,0.0,11.75,78.75,16.75,7.75,4.0
深圳,2022-02-19,11.478260869565217,0.0,14.391304347826088,36.17391304347826,6.869565217391305,3.565217391304348,4.043478260869565
深圳,2022-02-20,13.434782608695652,0.0,10.869565217391305,42.65217391304348,2.9565217391304346,2.3043478260869565,4.304347826086956
深圳,2022-02-21,14.043478260869565,0.0,14.434782608695652,45.34782608695652,4.565217391304348,3.9565217391304346,5.478260869565218
深圳,2022-02-22,12.73913043478261,0.0,16.91304347826087,39.130434782608695,7.434782608695652,5.260869565217392,4.260869565217392
深圳,2022-02-23,15.458333333333334,0.0,13.583333333333334,49.29166666666666,9.416666666666666,5.25,4.125
深圳,2022-02-24,28.75,0.0,21.83333333333333,49.833333333333336,28.75,17.25,4.291666666666667
深圳,2022-02-25,38.875,0.0,36.29166666666666,54.625,39.04166666666666,22.25,4.625
深圳,2022-02-26,58.54166666666666,0.0,45.458333333333336,87.83333333333333,56.583333333333336,33.5,4.583333333333333
深圳,2022-02-27,59.91666666666666,0.0,42.5,73.70833333333333,60.458333333333336,39.41666666666666,4.541666666666667
深圳,2022-02-28,35.17391304347826,0.0,22.043478260869566,95.2608695652174,33.130434782608695,16.73913043478261,4.217391304347826
深圳,2022-03-01,43.25,0.0,39.04166666666666,65.04166666666667,43.5,22.375,4.583333333333333
深圳,2022-03-02,58.04166666666666,0.0,40.125,73.0,64.0,35.875,4.875
深圳,2022-03-03,46.75,0.0,15.125,117.08333333333331,43.458333333333336,29.83333333333333,4.333333333333333
深圳,2022-03-04,39.708333333333336,0.0,35.208333333333336,74.08333333333333,38.833333333333336,25.375,5.166666666666667
深圳,2022-03-05,51.833333333333336,0.0,44.91666666666666,69.25,54.458333333333336,31.58333333333333,5.75
深圳,2022-03-06,41.54166666666666,0.0,12.791666666666666,110.79166666666669,40.29166666666666,17.75,4.916666666666667
深圳,2022-03-07,38.29166666666666,0.0,17.666666666666668,77.79166666666667,34.583333333333336,14.041666666666666,5.041666666666667
深圳,2022-03-08,28.666666666666668,0.0,16.5,91.45833333333331,22.95833333333333,9.166666666666666,5.041666666666667
深圳,2022-03-09,32.791666666666664,0.0,22.916666666666668,87.91666666666667,30.416666666666668,10.166666666666666,5.125
深圳,2022-03-10,36.875,0.0,22.791666666666668,83.16666666666667,36.875,12.958333333333334,4.958333333333333
深圳,2022-03-11,38.04166666666666,0.0,30.75,64.33333333333333,38.04166666666666,14.041666666666666,4.75
深圳,2022-03-12,32.625,0.0,21.33333333333333,67.33333333333333,30.375,13.625,4.875
深圳,2022-03-13,33.333333333333336,0.0,19.625,60.625,33.333333333333336,14.541666666666666,4.916666666666667
深圳,2022-03-14,28.33333333333333,0.0,21.791666666666668,50.625,26.375,12.0,4.833333333333333
深圳,2022-03-15,27.5,0.0,28.166666666666668,48.54166666666666,27.416666666666668,14.458333333333334,5.708333333333333
深圳,2022-03-16,25.217391304347824,0.0,11.217391304347826,72.95652173913044,24.82608695652174,13.73913043478261,5.0
深圳,2022-03-17,19.58333333333333,0.0,13.958333333333334,45.41666666666666,19.375,10.25,4.666666666666667
深圳,2022-03-18,41.79166666666666,0.0,28.45833333333333,60.04166666666666,42.41666666666666,27.041666666666668,5.416666666666667
深圳,2022-03-19,45.41666666666666,0.0,15.166666666666666,101.5,37.04166666666666,27.08333333333333,5.0
深圳,2022-03-20,29.95833333333333,0.0,9.125,95.41666666666669,23.125,14.875,4.958333333333333
深圳,2022-03-21,35.208333333333336,0.0,13.0,70.54166666666667,35.083333333333336,23.541666666666668,5.0
深圳,2022-03-22,26.83333333333333,0.0,15.5,49.91666666666666,25.33333333333333,18.45833333333333,5.041666666666667
深圳,2022-03-23,12.375,0.0,17.666666666666668,33.833333333333336,8.083333333333334,5.125,4.666666666666667
深圳,2022-03-24,14.916666666666666,0.0,16.833333333333332,43.625,9.416666666666666,5.916666666666667,4.0
深圳,2022-03-25,24.58333333333333,0.0,13.875,50.75,16.083333333333332,9.125,4.0
深圳,2022-03-26,27.125,0.0,15.291666666666666,17.708333333333332,26.95833333333333,17.625,4.25
深圳,2022-03-27,27.375,0.0,17.333333333333332,41.66666666666666,27.375,14.583333333333334,4.75
深圳,2022-03-28,17.625,0.0,20.20833333333333,30.166666666666668,16.583333333333332,9.791666666666666,4.041666666666667
深圳,2022-03-29,26.5,0.0,28.041666666666668,25.875,26.5,15.083333333333334,4.375
深圳,2022-03-30,35.291666666666664,0.0,26.125,57.16666666666666,31.166666666666668,16.375,4.583333333333333
深圳,2022-03-31,30.75,0.0,24.916666666666668,65.25,28.875,13.125,4.166666666666667
深圳,2022-04-01,25.08333333333333,0.0,13.875,70.33333333333333,21.95833333333333,9.166666666666666,4.041666666666667
深圳,2022-04-02,20.5,0.0,15.208333333333334,59.458333333333336,15.083333333333334,7.625,4.0
深圳,2022-04-03,30.916666666666668,0.0,16.708333333333332,83.375,28.875,13.5,4.833333333333333
深圳,2022-04-04,52.75,0.0,25.08333333333333,112.45833333333331,54.5,22.791666666666668,5.541666666666667
深圳,2022-04-05,59.583333333333336,0.0,27.666666666666668,118.875,56.958333333333336,25.08333333333333,5.625
深圳,2022-04-06,52.958333333333336,0.0,30.0,104.79166666666669,50.25,24.416666666666668,5.541666666666667
深圳,2022-04-07,41.875,0.0,25.33333333333333,98.875,43.333333333333336,20.33333333333333,4.958333333333333
深圳,2022-04-08,55.958333333333336,0.0,29.0,117.75,50.583333333333336,23.83333333333333,5.625
深圳,2022-04-09,37.5,0.0,18.791666666666668,92.33333333333331,37.458333333333336,13.5,5.625
深圳,2022-04-10,43.56521739130435,0.0,23.08695652173913,90.3913043478261,43.56521739130435,19.47826086956522,5.739130434782608
深圳,2022-04-11,38.375,0.0,27.25,49.79166666666666,38.5,18.95833333333333,5.291666666666667
深圳,2022-04-12,25.45833333333333,0.0,23.291666666666668,31.166666666666668,25.45833333333333,11.166666666666666,5.0
深圳,2022-04-13,29.166666666666668,0.0,24.375,29.291666666666668,29.166666666666668,12.583333333333334,4.625
深圳,2022-04-14,38.29166666666666,0.0,19.666666666666668,93.33333333333331,30.666666666666668,15.875,4.833333333333333
深圳,2022-04-15,33.708333333333336,0.0,13.291666666666666,94.75,31.916666666666668,14.041666666666666,4.708333333333333
深圳,2022-04-16,40.875,0.0,10.375,103.41666666666669,40.875,16.0,4.25
深圳,2022-04-17,52.083333333333336,0.0,15.125,105.75,53.708333333333336,26.08333333333333,5.0
深圳,2022-04-18,43.083333333333336,0.0,22.666666666666668,68.66666666666667,44.208333333333336,24.041666666666668,4.875
深圳,2022-04-19,15.5,0.0,22.291666666666668,29.791666666666668,15.375,7.291666666666667,4.083333333333333
深圳,2022-04-20,35.041666666666664,0.0,29.416666666666668,50.125,35.458333333333336,20.291666666666668,4.666666666666667
深圳,2022-04-21,45.833333333333336,0.0,29.541666666666668,92.66666666666669,45.083333333333336,29.0,5.041666666666667
深圳,2022-04-22,26.375,0.0,18.791666666666668,56.16666666666666,26.25,14.875,4.0
深圳,2022-04-23,25.041666666666668,0.0,19.08333333333333,38.29166666666666,24.70833333333333,13.083333333333334,4.458333333333333
深圳,2022-04-24,19.875,0.0,16.958333333333332,28.666666666666668,19.666666666666668,9.875,4.541666666666667
深圳,2022-04-25,19.166666666666668,0.0,12.208333333333334,33.791666666666664,19.166666666666668,11.583333333333334,4.166666666666667
深圳,2022-04-26,22.20833333333333,0.0,14.25,31.95833333333333,22.20833333333333,13.791666666666666,4.541666666666667
深圳,2022-04-27,21.70833333333333,0.0,16.333333333333332,30.541666666666668,21.666666666666668,13.583333333333334,5.125
深圳,2022-04-28,23.541666666666668,0.0,12.75,37.79166666666666,23.541666666666668,14.916666666666666,4.458333333333333
深圳,2022-04-29,27.33333333333333,0.0,20.166666666666668,40.875,27.33333333333333,15.5,4.833333333333333
深圳,2022-04-30,28.33333333333333,0.0,17.583333333333332,56.54166666666666,27.58333333333333,13.333333333333334,4.5
