city,date,AQI,CO,NO2,O3,PM10,PM2.5,SO2
武汉,2022-01-01,125.79166666666669,0.2916666666666667,77.20833333333333,36.54166666666666,109.83333333333331,95.20833333333331,10.541666666666666
武汉,2022-01-02,164.04166666666666,1.0,99.41666666666669,28.875,148.95833333333334,124.79166666666669,12.416666666666666
武汉,2022-01-03,133.75,1.0,93.79166666666669,31.33333333333333,123.33333333333331,101.83333333333331,14.583333333333334
武汉,2022-01-04,159.20833333333334,0.9583333333333334,65.5,30.375,123.91666666666669,120.83333333333331,8.791666666666666
武汉,2022-01-05,52.75,0.375,25.041666666666668,43.708333333333336,39.833333333333336,37.91666666666666,5.0
武汉,2022-01-06,26.58333333333333,0.0,27.08333333333333,30.041666666666668,21.08333333333333,18.0,5.291666666666667
武汉,2022-01-07,57.41666666666666,0.2083333333333333,37.083333333333336,24.33333333333333,43.833333333333336,41.083333333333336,6.791666666666667
武汉,2022-01-08,106.83333333333331,0.3333333333333333,48.91666666666666,30.625,79.875,80.33333333333333,7.958333333333333
武汉,2022-01-09,84.91666666666667,0.0,49.583333333333336,24.5,64.125,62.79166666666666,6.333333333333333
武汉,2022-01-10,96.16666666666669,0.7083333333333334,51.625,17.416666666666668,77.08333333333333,71.83333333333333,7.791666666666667
武汉,2022-01-11,161.375,1.0,50.708333333333336,39.083333333333336,121.625,122.66666666666669,7.416666666666667
武汉,2022-01-12,141.75,1.0,64.5,31.5,113.5,107.95833333333331,10.666666666666666
武汉,2022-01-13,123.5,0.625,37.66666666666666,46.25,100.125,93.08333333333331,8.125
武汉,2022-01-14,106.04166666666669,0.875,56.083333333333336,22.95833333333333,84.08333333333333,79.75,11.25
武汉,2022-01-15,121.83333333333331,0.9583333333333334,63.083333333333336,24.041666666666668,97.54166666666669,92.375,10.0
武汉,2022-01-16,131.5,0.875,66.83333333333333,30.375,104.95833333333331,100.04166666666669,9.583333333333334
武汉,2022-01-17,156.41666666666666,1.0,66.66666666666667,36.91666666666666,134.75,119.41666666666669,9.541666666666666
武汉,2022-01-18,227.20833333333331,1.0833333333333333,69.29166666666667,40.54166666666666,172.08333333333334,177.25,9.583333333333334
武汉,2022-01-19,189.125,1.1666666666666667,81.41666666666667,41.25,160.66666666666666,144.0,10.458333333333334
武汉,2022-01-20,191.70833333333331,1.0,35.625,47.208333333333336,143.0,146.875,7.416666666666667
武汉,2022-01-21,98.45833333333331,0.6666666666666666,35.875,18.625,83.41666666666667,73.66666666666667,6.916666666666667
武汉,2022-01-22,49.083333333333336,0.0,29.041666666666668,13.25,39.208333333333336,35.208333333333336,5.916666666666667
武汉,2022-01-23,29.666666666666668,0.6666666666666666,30.541666666666668,13.083333333333334,20.875,20.83333333333333,5.083333333333333
武汉,2022-01-24,57.458333333333336,1.0,29.5,20.291666666666668,37.04166666666666,41.208333333333336,5.125
武汉,2022-01-25,93.25,1.0,31.33333333333333,19.0,69.91666666666667,69.45833333333333,5.291666666666667
武汉,2022-01-26,60.91666666666666,0.9583333333333334,25.20833333333333,29.625,47.5,44.04166666666666,5.166666666666667
武汉,2022-01-27,44.583333333333336,0.25,19.08333333333333,53.16666666666666,31.95833333333333,31.291666666666668,5.208333333333333
武汉,2022-01-28,57.5,0.0,19.45833333333333,53.75,42.0,41.16666666666666,5.333333333333333
武汉,2022-01-29,67.75,0.0,20.33333333333333,46.125,45.958333333333336,49.16666666666666,5.125
武汉,2022-01-30,81.29166666666667,0.2916666666666667,25.33333333333333,41.458333333333336,59.66666666666666,60.0,6.0
武汉,2022-01-31,91.375,0.9166666666666666,31.58333333333333,36.958333333333336,70.75,68.0,6.916666666666667
武汉,2022-02-01,137.04166666666666,0.3333333333333333,21.25,64.125,146.25,103.04166666666669,10.125
武汉,2022-02-02,61.583333333333336,0.0,16.708333333333332,68.45833333333333,55.625,44.0,6.125
武汉,2022-02-03,69.5,0.25,26.95833333333333,45.79166666666666,56.833333333333336,50.54166666666666,6.541666666666667
武汉,2022-02-04,72.95833333333333,0.0833333333333333,28.916666666666668,51.583333333333336,60.91666666666666,53.29166666666666,6.708333333333333
武汉,2022-02-05,82.20833333333333,0.4166666666666667,30.541666666666668,53.66666666666666,68.04166666666667,60.625,8.416666666666666
武汉,2022-02-06,78.5,0.0833333333333333,19.875,67.66666666666667,61.458333333333336,57.833333333333336,7.541666666666667
武汉,2022-02-07,30.041666666666668,0.0,15.541666666666666,65.54166666666667,20.916666666666668,21.0,5.958333333333333
武汉,2022-02-08,33.333333333333336,0.0,16.458333333333332,64.375,21.166666666666668,23.33333333333333,6.166666666666667
武汉,2022-02-09,47.25,0.0,22.20833333333333,50.29166666666666,30.75,33.125,6.041666666666667
武汉,2022-02-10,52.66666666666666,0.0,30.625,36.625,38.91666666666666,37.208333333333336,6.458333333333333
武汉,2022-02-11,66.79166666666667,0.0,43.958333333333336,18.95833333333333,49.79166666666666,48.41666666666666,7.041666666666667
武汉,2022-02-12,77.375,0.0416666666666666,28.125,37.54166666666666,54.5,56.833333333333336,6.583333333333333
武汉,2022-02-13,56.708333333333336,0.0,34.416666666666664,30.916666666666668,42.625,40.54166666666666,6.208333333333333
武汉,2022-02-14,63.04166666666666,0.5,51.458333333333336,24.5,57.0,45.333333333333336,7.291666666666667
武汉,2022-02-15,90.33333333333331,0.5833333333333334,38.125,41.625,78.375,67.125,8.541666666666666
武汉,2022-02-16,107.45833333333331,0.5833333333333334,33.916666666666664,35.458333333333336,100.70833333333331,80.91666666666667,7.583333333333333
武汉,2022-02-17,42.04166666666666,0.0,20.666666666666668,47.5,35.708333333333336,29.916666666666668,6.083333333333333
武汉,2022-02-18,31.291666666666668,0.0,18.875,42.958333333333336,21.08333333333333,21.95833333333333,5.708333333333333
武汉,2022-02-19,45.130434782608695,0.0,17.0,49.26086956521739,33.34782608695652,31.695652173913043,5.913043478260869
武汉,2022-02-20,74.30434782608695,0.1739130434782608,31.73913043478261,53.69565217391305,59.391304347826086,54.26086956521739,8.652173913043478
武汉,2022-02-21,62.04347826086956,0.3043478260869565,62.0,30.0,60.52173913043478,44.43478260869565,12.304347826086955
武汉,2022-02-22,87.73913043478261,0.782608695652174,70.6086956521739,26.956521739130437,87.78260869565217,65.1304347826087,11.304347826086955
武汉,2022-02-23,75.25,0.1666666666666666,35.541666666666664,65.83333333333333,61.458333333333336,55.083333333333336,8.416666666666666
武汉,2022-02-24,96.45833333333331,0.6666666666666666,64.625,52.583333333333336,96.0,72.04166666666667,10.458333333333334
武汉,2022-02-25,86.41666666666667,0.5833333333333334,77.375,48.333333333333336,89.41666666666667,64.04166666666667,9.791666666666666
武汉,2022-02-26,78.25,0.5833333333333334,81.08333333333333,42.5,87.25,57.583333333333336,9.541666666666666
武汉,2022-02-27,83.58333333333333,0.5833333333333334,68.25,62.625,102.79166666666669,61.333333333333336,11.708333333333334
武汉,2022-02-28,88.17391304347827,1.0,91.65217391304348,18.08695652173913,118.2608695652174,65.26086956521739,13.347826086956522
武汉,2022-03-01,96.95833333333331,0.375,50.875,39.958333333333336,126.08333333333331,49.083333333333336,8.666666666666666
武汉,2022-03-02,91.75,0.125,62.375,40.79166666666666,133.0,40.41666666666666,9.25
武汉,2022-03-03,98.20833333333331,1.0,80.58333333333333,44.0,145.66666666666666,59.91666666666666,13.166666666666666
武汉,2022-03-04,87.33333333333333,0.7083333333333334,59.708333333333336,62.458333333333336,116.58333333333331,59.91666666666666,9.291666666666666
武汉,2022-03-05,89.66666666666667,0.625,70.875,60.208333333333336,127.16666666666669,55.25,10.25
武汉,2022-03-06,75.04166666666667,0.125,40.29166666666666,44.083333333333336,99.54166666666669,31.83333333333333,9.125
武汉,2022-03-07,47.29166666666666,0.0,31.875,58.04166666666666,48.458333333333336,20.875,7.708333333333333
武汉,2022-03-08,62.25,0.2916666666666667,42.208333333333336,61.29166666666666,74.08333333333333,27.625,10.625
武汉,2022-03-09,56.91666666666666,0.125,44.708333333333336,69.33333333333333,64.125,24.95833333333333,13.875
武汉,2022-03-10,64.5,0.5,66.875,57.583333333333336,78.25,35.0,14.458333333333334
武汉,2022-03-11,77.83333333333333,0.7083333333333334,70.375,68.04166666666667,104.04166666666669,49.333333333333336,15.708333333333334
武汉,2022-03-12,63.208333333333336,0.3333333333333333,44.125,78.33333333333333,75.91666666666667,37.75,14.375
武汉,2022-03-13,65.75,0.2916666666666667,42.625,56.875,76.25,46.41666666666666,8.75
武汉,2022-03-14,114.91666666666669,1.0,46.04166666666666,45.79166666666666,156.58333333333334,58.333333333333336,9.166666666666666
武汉,2022-03-15,148.625,0.7916666666666666,40.125,68.45833333333333,238.25,66.83333333333333,9.916666666666666
武汉,2022-03-16,79.47826086956522,0.8695652173913043,49.82608695652174,48.56521739130435,109.78260869565216,47.08695652173913,12.217391304347826
武汉,2022-03-17,21.791666666666668,0.125,13.458333333333334,64.79166666666667,13.833333333333334,5.875,6.0
武汉,2022-03-18,34.333333333333336,0.0,24.33333333333333,30.375,34.333333333333336,21.70833333333333,6.041666666666667
武汉,2022-03-19,54.583333333333336,0.0833333333333333,29.0,24.95833333333333,57.5,36.083333333333336,6.958333333333333
武汉,2022-03-20,34.708333333333336,0.0833333333333333,21.33333333333333,32.75,33.833333333333336,22.541666666666668,6.5
武汉,2022-03-21,13.291666666666666,0.0,21.166666666666668,38.625,6.25,5.125,6.166666666666667
武汉,2022-03-22,18.33333333333333,0.0,18.0,58.5,9.375,7.125,6.083333333333333
武汉,2022-03-23,22.875,0.0,21.416666666666668,59.083333333333336,18.375,14.875,6.791666666666667
武汉,2022-03-24,32.541666666666664,0.1666666666666666,30.08333333333333,43.54166666666666,30.875,21.916666666666668,9.0
武汉,2022-03-25,20.08333333333333,0.375,28.08333333333333,31.20833333333333,16.375,12.083333333333334,6.541666666666667
武汉,2022-03-26,50.79166666666666,0.0,34.708333333333336,45.29166666666666,56.625,26.375,7.458333333333333
武汉,2022-03-27,65.0,0.0,41.083333333333336,46.208333333333336,79.5,33.791666666666664,9.5
武汉,2022-03-28,69.08333333333333,0.0833333333333333,35.5,70.625,87.66666666666667,36.375,10.583333333333334
武汉,2022-03-29,42.708333333333336,0.0416666666666666,31.58333333333333,72.33333333333333,42.958333333333336,22.041666666666668,11.291666666666666
武汉,2022-03-30,60.41666666666666,0.75,58.5,27.666666666666668,70.66666666666667,36.583333333333336,11.25
武汉,2022-03-31,68.5,0.25,19.5,53.708333333333336,73.29166666666667,48.708333333333336,6.625
武汉,2022-04-01,47.66666666666666,0.0,24.416666666666668,66.58333333333333,50.54166666666666,27.541666666666668,8.25
武汉,2022-04-02,51.625,0.0833333333333333,51.79166666666666,59.458333333333336,54.54166666666666,32.875,10.041666666666666
武汉,2022-04-03,66.0,0.2916666666666667,52.75,74.70833333333333,79.5,44.125,11.833333333333334
武汉,2022-04-04,56.375,0.25,40.25,94.41666666666669,62.333333333333336,34.75,14.0
武汉,2022-04-05,44.708333333333336,0.0833333333333333,37.0,78.25,44.41666666666666,24.95833333333333,8.458333333333334
武汉,2022-04-06,54.29166666666666,0.125,56.625,59.75,59.75,32.291666666666664,8.041666666666666
武汉,2022-04-07,69.08333333333333,0.5416666666666666,66.54166666666667,64.625,83.91666666666667,40.91666666666666,9.625
武汉,2022-04-08,67.375,0.4583333333333333,65.25,66.5,84.75,37.583333333333336,12.541666666666666
武汉,2022-04-09,62.5,0.125,53.25,77.66666666666667,74.58333333333333,32.083333333333336,12.833333333333334
武汉,2022-04-10,68.04347826086956,0.0869565217391304,50.78260869565217,89.1304347826087,81.8695652173913,42.30434782608695,13.304347826086955
武汉,2022-04-11,73.29166666666667,0.3333333333333333,46.208333333333336,99.375,89.33333333333333,50.833333333333336,11.291666666666666
武汉,2022-04-12,87.08333333333333,0.375,28.70833333333333,88.0,119.54166666666669,47.16666666666666,10.833333333333334
武汉,2022-04-13,31.166666666666668,0.0,11.875,73.08333333333333,31.125,16.583333333333332,7.708333333333333
武汉,2022-04-14,40.41666666666666,0.3333333333333333,23.58333333333333,63.083333333333336,40.333333333333336,23.041666666666668,9.333333333333334
武汉,2022-04-15,36.5,0.0,22.75,74.375,36.5,20.375,8.333333333333334
武汉,2022-04-16,44.083333333333336,0.0,24.83333333333333,84.5,45.875,28.791666666666668,9.5
武汉,2022-04-17,52.91666666666666,0.0,28.875,79.04166666666667,55.583333333333336,34.625,9.5
武汉,2022-04-18,53.333333333333336,0.0,24.041666666666668,80.16666666666667,56.708333333333336,32.041666666666664,9.541666666666666
武汉,2022-04-19,58.54166666666666,0.0,42.833333333333336,77.83333333333333,66.54166666666667,27.125,9.0
